^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
3767,Makarora Primary School,03 4438342,,office@makarora.school.nz,Lynley Ward,http://www.makarora.school.nz/,Rata Street,Makarora,Wanaka,PO Box 20,Makarora,Wanaka,9346,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Hawea,Wanaka Ward,169.233666,-44.234013,7,15,10,3,0,0,2,0,0
3768,Maori Hill School,03 4640184,03 4640180,office@maorihill.school.nz,Alistair Campbell,http://www.maorihill.school.nz,Passmore Crescent,Maori Hill,Dunedin,9 Passmore Crescent,Maori Hill,Dunedin,9010,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Maori Hill,Central Ward,170.500969,-45.857413,10,245,193,21,3,19,7,2,0
3771,Millers Flat School,03 4466772,03 4466775,office@millersflat.school.nz,Kim Blackwood,http://www.millersflat.school.nz/,Teviot Road,,Millers Flat,Private Bag,,Millers Flat,9544,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Teviot,Roxburgh Ward,169.409728,-45.659482,7,36,33,2,0,1,0,0,0
3772,Milton School,03 4178720,03 4178743,office@milton.school.nz,Tania McNamara,http://www.milton.school.nz,Coronation Court,,Milton,PO Box 73,,Milton,9241,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Milton,Bruce Ward,169.962047,-46.113826,4,166,130,33,1,1,1,0,0
3776,Mornington School,03 4536794,03 4536148,office@mornington.school.nz,Brent Caldwell,http://www.mornington.school.nz,34 Elgin Road,Mornington,Dunedin,34 Elgin Road,Mornington,Dunedin,9011,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Mornington,Central Ward,170.475514,-45.882506,8,261,205,29,8,11,6,1,1
3778,Elmgrove School,03 4896252,03 4896352,,Jennifer McDonald,http://www.elmgrove.school.nz,74 Argyle Street,,Mosgiel,74 Argyle Street,,Mosgiel,9024,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Mosgiel South,Mosgiel-Taieri Ward,170.346074,-45.87964,6,272,238,23,4,6,0,1,0
3779,Musselburgh School,03 4554586,03 4554566,office@musselburgh.school.nz,Deborah Smith,http://www.musselburgh.school.nz,34 Marlow Street,Musselburgh,Dunedin,34 Marlow Street,Saint Kilda,Dunedin,9012,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,St Kilda East,Central Ward,170.514738,-45.903489,5,194,121,46,19,6,2,0,0
3783,North East Valley Normal School,03 4738246,03 4738277,office@nevn.school.nz,John McKenzie,http://www.nevn.school.nz,248 North Road,North East Valley,Dunedin,248 North Road,North East Valley,Dunedin,9010,Main Urban Area,Contributing,Normal School (Model Classes),State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,North East Valley,Central Ward,170.530523,-45.849266,6,181,122,39,8,11,1,0,0
3784,Oamaru Intermediate,03 4370822,03 4372822,office@oamaruint.school.nz,Mary Healey,http://www.oamaruint.school.nz,Pembroke Street,,Oamaru,Pembroke Street,Oamaru North,Oamaru,9400,Secondary Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Oamaru North,Oamaru Ward,170.984299,-45.075693,5,294,220,35,30,5,2,2,0
3785,Oamaru North School,03 4347512,03 4340953,office@oamarunorth.school.nz,Peter Roundhill,http://www.oamarunorth.school.nz,Torridge Street,,Oamaru,40 Torridge Street,,Oamaru,9400,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Orana Park,Oamaru Ward,170.971467,-45.091738,4,122,69,21,30,0,1,1,0
3788,Omakau School,03 4473837,03 4473837,office@omakau.school.nz,Tracy Richmond,http://www.omakau.school.nz,Deaker Street,,Omakau,PO Box 20,,Omakau,9352,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Dunstan,Earnscleugh-Manuherikia Ward,169.60271,-45.090942,8,39,38,1,0,0,0,0,0
3789,Omarama School,03 4389815,03 4389459,principal@omarama.school.nz,Dion Stechmann,http://www.omarama.school.nz,State Highway 8,,Omarama,Counter Delivery,Omarama Postcentre,Omarama,9448,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Canterbury Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Omarama,Ahuriri Ward,169.962015,-44.48905,6,38,31,0,0,5,1,1,0
3790,Opoho School,03 4738019,03 4738019,opohoschool@xtra.co.nz,Jennifer Clarke,http://www.opohoschool.iwarp.com,96 Signal Hill Road,Opoho,Dunedin,96 Signal Hill Road,Opoho,Dunedin,9010,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Opoho,Central Ward,170.533006,-45.853619,9,134,98,16,4,11,1,4,0
3795,Outram School,03 4861733,03 4862147,,Jeremy Marshall,http://www.outram.school.nz,1 Beaumaris Street,,Outram,PO Box 22,,Outram,9062,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Outram,Mosgiel-Taieri Ward,170.228273,-45.861134,9,213,193,17,1,1,1,0,0
3797,Palmerston School,03 4651361,03 4651377,office@palmerston.school.nz,Gareth Taylor,http://www.palmerston.school.nz,Stromness Street,,Palmerston,40 Stromness Street,,Palmerston,9430,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Palmerston,Waihemo Ward,170.719157,-45.481031,6,115,95,19,0,0,0,1,0
3798,Papakaio School,03 4317851,03 4317033,principal@papakaio.school.nz,Gary Shirley,http://www.papakaio.school.nz/,17 Papakaio Road,,Oamaru,17 Papakaio Road,RD 15K,Oamaru,9494,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Maheno,Corriedale Ward,170.979614,-44.989901,8,134,108,12,1,12,0,1,0
3801,Pine Hill School (Dunedin),03 4739148,,principal@pinehilldunedin.school.nz,Melanie Jewiss,http://www.pinehilldunedin.school.nz,11 Hislop Street,Pine Hill,Dunedin,11 Hislop Street,Liberton,Dunedin,9010,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Pine Hill,Central Ward,170.518163,-45.846459,3,44,20,10,7,6,1,0,0
3802,Poolburn School,03 4474866,03 4474866,office@poolburn.school.nz,Craig Hickford,http://www.poolburn.schoolzone.net.nz,1017 Ida Valley-Omakau Road,,Oturehua,1017 Ida Valley-Omakau Road,RD 2,Oturehua,9387,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Dunstan,Earnscleugh-Manuherikia Ward,169.696295,-45.137217,10,36,27,9,0,0,0,0,0
3803,Port Chalmers School,03 4728685,03 4728691,office@portchalmers.school.nz,Vicki Nicolson,http://www.portchalmers.school.nz/,30 A Albertson Avenue,,Port Chalmers,30A Albertson Avenue,,Port Chalmers,9023,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Port Chalmers,Waikouaiti Coast-Chalmers Ward,170.617507,-45.821028,5,118,92,22,3,1,0,0,0
3805,Portobello School,03 4780605,03 4780605,office@portobello.school.nz,Winnie Cornelissen,http://portobelloschool.wikispaces.com,30 Harington Point Road,Portobello,Dunedin,30 Harington Point Road,Portobello,Dunedin,9014,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Broad Bay-Portobello,Central Ward,170.6572,-45.838224,8,100,61,35,0,4,0,0,0
3807,Purakaunui School,03 4821026,03 4821912,office@purakaunui.school.nz,Tim Cook,http://www.purakaunui.school.nz,8 Mihiwaka Station Road RD 1,Port Chalmers,Purakanui,8 Mihiwaka Station Road,RD 1,Port Chalmers,9081,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Evansdale,Waikouaiti Coast-Chalmers Ward,170.631812,-45.772776,6,17,15,0,0,2,0,0,0
3808,Ravensbourne School,03 4710410,03 4710419,principal@ravensbourne.school.nz,Megan Odgers,http://www.ravensbourne.school.nz,8 Wanaka Street,Ravensbourne,Dunedin,8 Wanaka Street,Ravensbourne,Dunedin,9022,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Ravensbourne,Waikouaiti Coast-Chalmers Ward,170.555575,-45.864944,6,30,20,8,0,0,2,0,0
3811,Romahapa School,03 4128849,,principal@romahapa.school.nz,Mark Preddy,http://www.schoolground.co.nz/romahapa,School Road,,Balclutha,25 School Road,RD 1,Balclutha,9271,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Clutha,Catlins Ward,169.709372,-46.34561,4,52,45,1,2,1,3,0,0
3812,Rosebank School (Balclutha),03 4181090,03 4182407,office@rosebankschool.co.nz,Pauline Simpson,http://www.rosebankprimary.school.nz,Frances Street,,Balclutha,41 Frances Street,,Balclutha,9230,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Balclutha,Balclutha Ward,169.72508,-46.246557,6,259,201,42,4,9,2,1,0
3815,Sacred Heart School (Dunedin),03 4738362,03 4736362,office@sacredheartdn.school.nz,Paul Richardson,http://www.sacredheartdn.school.nz,63 North Road,North East Valley,Dunedin,63 North Road,North East Valley,Dunedin,9010,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,North East Valley,Central Ward,170.520981,-45.853387,7,51,32,5,2,10,2,0,0
3816,Sara Cohen School,03 4558347,03 4561538,principal@saracohen.school.nz,Raewyn Alexander,http://www.saracohen.school.nz/,44 Rutherford Street,Caversham,Dunedin,44 Rutherford Street,Caversham,Dunedin,9012,Main Urban Area,Special School,Sch. for Intellectual Impairments,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Caversham,Central Ward,170.482778,-45.898837,6,29,26,3,0,0,0,0,0
3817,Sawyers Bay School,03 4728981,03 4728982,office@sawyersbay.school.nz,Gareth Swete,http://www.sawyersbay.school.nz,99 Stevenson Avenue,Sawyers Bay,Port Chalmers,99 Stevenson Avenue,Sawyers Bay,Port Chalmers,9023,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Sawyers Bay,Waikouaiti Coast-Chalmers Ward,170.601212,-45.819742,7,96,74,16,3,1,1,1,0
3819,St Bernadette's School (Forbury),03 4557408,03 4557408,office@stbernadettes.school.nz,Janice Taylor,http://www.stbernadettes.school.nz/,16 Forbury Road,,Dunedin,16 Forbury Road,Forbury,Dunedin,9012,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,St Clair,Central Ward,170.484353,-45.899843,5,158,93,31,24,6,0,4,0
3820,St Brigids School (Tainui),03 4543477,03 4543477,office@stbrigidsdn.school.nz,Christopher Hogue,http://www.stbrigidsdn.school.nz,57 Bayfield Road,Andersons Bay,Dunedin,57 Bayfield Road,Andersons Bay,Dunedin,9013,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Andersons Bay,Central Ward,170.527675,-45.898059,10,104,77,8,7,12,0,0,0
3822,St Francis Xavier School (Mornington),03 4534446,03 4534443,office@stfrancisxavier.school.nz,Craig Ward,http://www.stfrancisxavier.school.nz,27 Benhar Street,Mornington,Dunedin,27 Benhar Street,Maryhill,Dunedin,9011,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Mornington,Central Ward,170.476151,-45.888904,8,107,87,6,5,4,3,2,0
3823,St Gerard's School (Alexandra),03 4488339,03 4486410,office@stgerards.school.nz,Trina Eastwood,http://www.stgerards.school.nz,2 Station Street,,Alexandra,PO Box 196,,Alexandra,9340,Minor Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Alexandra,Alexandra Ward,169.396538,-45.249273,9,132,110,10,5,4,3,0,0
3824,St John's School (Ranfurly),03 4449514,03 4449514,susan@stjohns.schoolzone.net.nz,Susan Mulholland,,6 Stuart Road,,Ranfurly,6 Stuart Road,,Ranfurly,9332,Rural Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Ranfurly,Maniototo Ward,170.096601,-45.134172,7,63,45,4,3,10,1,0,0
3825,St Joseph's School (Oamaru),03 4348856,03 4341010,principal@stjoseph.school.nz,Jennifer Jackson,http://www.stjoseph.school.nz,36 Usk Street,,Oamaru,36 Usk Street,,Oamaru,9400,Secondary Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Oamaru Central,Oamaru Ward,170.970448,-45.092549,6,232,166,7,22,33,3,1,0
3826,St Joseph's School (Balclutha),03 4182548,03 4182549,office@stjosbalclutha.school.nz,Annette O'Mahony,,18 Stewart Street,,Balclutha,18 Stewart Street,,Balclutha,9230,Minor Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Balclutha,Balclutha Ward,169.737186,-46.240837,7,65,41,8,5,7,0,4,0
3827,St Joseph's Cathedral School,03 4773416,03 4771280,office@stjoescath.school.nz,Michelle Bednarek-Burrow,http://www.stjoescath.school.nz,43 Elm Row,City Rise,Dunedin,43 Elm Row,City Rise,Dunedin,9016,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,High St-Stuart St,Central Ward,170.497257,-45.875888,8,138,77,17,19,17,6,2,0
3828,St Joseph's School (Port Chalmers),03 4728657,03 4728656,office@sjport.school.nz,Thomas Woodhouse,http://www.stjosephsport.co.nz,Bernicia Street,,Port Chalmers,Bernicia Street,,Port Chalmers,9023,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Port Chalmers,Waikouaiti Coast-Chalmers Ward,170.621309,-45.820915,7,33,24,3,1,3,2,0,0
3829,St Leonard's School (Dunedin),03 4710501,03 4710507,office@stleonardsdn.school.nz,Jo-Anne Wilson,http://www.stleonardsdn.school.nz,29 St Leonards Drive,Saint Leonards,Dunedin,29 St Leonards Drive,Saint Leonards,Dunedin,9022,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,St Leonards-Blanket Bay,Waikouaiti Coast-Chalmers Ward,170.578318,-45.846739,10,68,62,5,0,1,0,0,0
3830,St Mary's School (Dunedin),03 4764277,03 4764278,secretary@st-marys.school.nz,Richard Duffy,http://www.st-marys.school.nz,6 A Cromwell Street,Wakari,Dunedin,6A Cromwell Street,Wakari,Dunedin,9010,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Wakari,Central Ward,170.480336,-45.861479,6,27,16,2,5,2,0,2,0
3831,St Mary's School (Milton),03 4178585,03 4174792,principal@saint-marys.school.nz,Diane Hayes,,Chaucer Street,,Milton,7 Chaucer Street,,Milton,9220,Minor Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Milton,Bruce Ward,169.961282,-46.125212,4,91,69,20,0,0,1,1,0
3832,St Mary's School (Mosgiel),03 4897716,03 4890991,office@stmarys-mosgiel.school.nz,Michael Brosnahan,http://www.stmarys-mosgiel.school.nz/,87 Church Street,,Mosgiel,87 Church Street,,Mosgiel,9024,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Mosgiel South,Mosgiel-Taieri Ward,170.354878,-45.881293,8,139,127,10,0,2,0,0,0
3834,St Peter Chanel School (Green Island),03 4881519,03 4881517,office@stpeterchanel.school.nz,Debra Waldron,http://www.stpeterchanel.school.nz,Main Road,Green Island,Dunedin,PO Box 13100,Green Island,Dunedin,9052,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Green Island,Central Ward,170.425204,-45.903518,8,71,59,10,2,0,0,0,0
3835,St Clair School,03 4558199,03 4554199,office@stclair.school.nz,Richard Newton,http://www.stclair.school.nz,135 Richardson Street,St Clair,Dunedin,135 Richardson Street,Saint Clair,Dunedin,9012,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,St Kilda West,Central Ward,170.493124,-45.908179,6,426,327,61,10,25,2,1,0
3836,Stirling School,03 4180540,03 4180543,principal@stirling.school.nz,Mary Munro,http://www.stirling.school.nz,Baker Street,,Stirling,Baker Street,,Stirling,9231,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Stirling,Balclutha Ward,169.779911,-46.248087,7,26,13,9,1,2,1,0,0
3837,Strath Taieri School,03 4643798,03 4643099,office@middlemarch.school.nz,Vicki McIntyre,,Swansea Street,Strath Taieri,Middlemarch,Hyde-Middlemarch Road,RD 1,Middlemarch,9596,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Middlemarch,Mosgiel-Taieri Ward,170.119398,-45.504741,6,47,32,15,0,0,0,0,0
3838,Tahakopa School,03 4158085,03 4158085,tahasch@es.co.nz,Yvonne Catherwood,,921 Tahakopa Valley Road RD 2,,Owaka,921 Tahakopa Valley Road,RD 2,Owaka,9586,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Clutha,Catlins Ward,169.387905,-46.51086,9,8,6,0,0,2,0,0,0
3839,Tahuna Normal Intermediate,03 4553994,03 4556690,tahuna@tahuna.school.nz,Tony Hunter,http://www.tahuna.school.nz,31 Auld Street,Musselburgh,Dunedin,31 Auld Street,Saint Kilda,Dunedin,9012,Main Urban Area,Intermediate,Normal School,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,St Kilda East,Central Ward,170.517529,-45.903952,8,435,361,40,13,9,7,5,0
3840,Taieri Beach School,03 4817890,03 4817891,office@taieribeach.school.nz,Gloria Penrice,http://taieribeach.school.nz/,Moturata Road,Taieri Mouth,Brighton,208 Moturata Road,RD 1,Brighton,9091,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Bruce,Bruce Ward,170.194988,-46.071794,5,18,15,2,0,0,0,1,0
3841,Tainui School,03 4550566,03 4550157,office@tainui.school.nz,Shelley Wilde,http://www.tainui.school.nz/,41 Tahuna Road,Tainui,Dunedin,41 Tahuna Road,Tainui,Dunedin,9013,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Musselburgh,Central Ward,170.524692,-45.903233,8,286,210,58,6,9,1,2,0
3842,Tapanui School,03 2048614,03 2048614,office@tapanui.school.nz,Antony Criglington,http://www.tapanui.school.nz,Sussex Street,,Tapanui,16 Sussex Street,,Tapanui,9522,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Tapanui,West Otago Ward,169.260477,-45.941742,7,119,96,14,1,3,2,3,0
